0,1,2,3,4,5,function_value
1.0,1.0,1.0,1.0,1.0,1.0,1.1907530810953968
1.0,1.0,1.0,1.0,1.0,2.0,1.190481140201507
1.0,1.0,1.0,1.0,1.0,3.0,1.19051566281431
1.0,1.0,1.0,1.0,1.0,5.0,1.5340408194457227
1.0,1.0,1.0,1.0,2.0,1.0,1.1900920175544523
1.0,1.0,1.0,1.0,2.0,2.0,1.1903649965241347
1.0,1.0,1.0,1.0,3.0,1.0,1.1896979121478135
1.0,1.0,1.0,1.0,3.0,2.0,1.190406445273762
1.0,1.0,1.0,1.0,3.0,3.0,1.1905215228709303
1.0,1.0,1.0,1.0,4.0,1.0,1.1895268117155506
1.0,1.0,1.0,1.0,4.0,3.0,1.2272992622632812
1.0,1.0,1.0,1.0,5.0,1.0,1.1894544940043907
1.0,1.0,1.0,2.0,1.0,1.0,1.1900808604345507
1.0,1.0,1.0,2.0,1.0,2.0,1.190389651860282
1.0,1.0,1.0,2.0,1.0,3.0,1.1904935906369387
1.0,1.0,1.0,2.0,2.0,1.0,1.189818110118617
1.0,1.0,1.0,2.0,2.0,2.0,1.1904086852728621
1.0,1.0,1.0,2.0,2.0,3.0,1.1904986513213094
1.0,1.0,1.0,2.0,3.0,1.0,1.189658517937941
1.0,1.0,1.0,2.0,3.0,2.0,1.1904128931659965
1.0,1.0,1.0,2.0,3.0,3.0,1.2556658047742486
1.0,1.0,1.0,2.0,4.0,2.0,1.1904126670483541
1.0,1.0,1.0,2.0,4.0,3.0,1.3190888755042673
1.0,1.0,1.0,2.0,5.0,2.0,1.253541242954364
1.0,1.0,1.0,3.0,1.0,1.0,1.18965118273211
1.0,1.0,1.0,3.0,1.0,2.0,1.1904206891951064
1.0,1.0,1.0,3.0,1.0,3.0,1.1905260311210044
1.0,1.0,1.0,3.0,2.0,1.0,1.1896459867132372
1.0,1.0,1.0,3.0,2.0,2.0,1.1904282266519106
1.0,1.0,1.0,3.0,2.0,3.0,1.2081023310398968
1.0,1.0,1.0,3.0,3.0,1.0,1.1895840142261893
1.0,1.0,1.0,3.0,3.0,2.0,1.1904269656328896
1.0,1.0,1.0,3.0,3.0,3.0,1.2627505244115937
1.0,1.0,1.0,3.0,4.0,3.0,1.4517512222221864
1.0,1.0,1.0,3.0,4.0,4.0,1.652895612745634
1.0,1.0,1.0,3.0,5.0,3.0,1.5669118809244929
1.0,1.0,1.0,4.0,1.0,1.0,1.1894439379859516
1.0,1.0,1.0,4.0,1.0,2.0,1.1904241207232626
1.0,1.0,1.0,4.0,1.0,3.0,1.2184955982457095
1.0,1.0,1.0,4.0,2.0,2.0,1.1904328423648554
1.0,1.0,1.0,4.0,2.0,3.0,1.3977054064279826
1.0,1.0,1.0,4.0,3.0,3.0,1.4082714413757236
1.0,1.0,1.0,4.0,3.0,4.0,1.5761581030999132
1.0,1.0,1.0,4.0,4.0,3.0,1.6519088158009454
1.0,1.0,1.0,4.0,4.0,4.0,1.6738271533047517
1.0,1.0,1.0,5.0,1.0,1.0,1.1893057901381714
1.0,1.0,1.0,5.0,1.0,2.0,1.190426709993323
1.0,1.0,1.0,5.0,1.0,3.0,1.3307246602211846
1.0,1.0,1.0,5.0,1.0,4.0,1.5318660696860384
1.0,1.0,1.0,5.0,1.0,5.0,1.749082265971219
1.0,1.0,1.0,5.0,3.0,1.0,1.1895675078989154
1.0,1.0,1.0,5.0,3.0,2.0,1.3599023270649484
1.0,1.0,1.0,5.0,3.0,3.0,1.5272736278540735
1.0,1.0,1.0,5.0,4.0,4.0,1.8885013169293001
1.0,1.0,1.0,5.0,4.0,5.0,2.0354585372819516
1.0,1.0,1.0,5.0,5.0,5.0,2.035458288441387
1.0,1.0,2.0,1.0,1.0,1.0,1.1923083971945718
1.0,1.0,2.0,1.0,1.0,2.0,1.1929534557251462
1.0,1.0,2.0,1.0,2.0,1.0,1.1925893396103697
1.0,1.0,2.0,1.0,2.0,2.0,1.1931971550122755
1.0,1.0,2.0,1.0,3.0,1.0,1.1927433479856053
1.0,1.0,2.0,1.0,4.0,3.0,1.5078318494642444
1.0,1.0,2.0,1.0,4.0,4.0,1.7415000411817605
1.0,1.0,2.0,2.0,1.0,1.0,1.192621165594752
1.0,1.0,2.0,2.0,1.0,2.0,1.193119106249528
1.0,1.0,2.0,2.0,1.0,3.0,1.2284231165944905
1.0,1.0,2.0,2.0,2.0,1.0,1.1926868528796126
1.0,1.0,2.0,2.0,2.0,2.0,1.1933368261643438
1.0,1.0,2.0,2.0,3.0,1.0,1.1927257376755174
1.0,1.0,2.0,2.0,3.0,2.0,1.2558433505354636
1.0,1.0,2.0,2.0,3.0,3.0,1.4196220924588048
1.0,1.0,2.0,2.0,5.0,2.0,1.5324941966937662
1.0,1.0,2.0,3.0,1.0,1.0,1.192802159089537
1.0,1.0,2.0,3.0,1.0,2.0,1.1931786418731316
1.0,1.0,2.0,3.0,1.0,3.0,1.3552748160870702
1.0,1.0,2.0,3.0,2.0,2.0,1.2941121056936224
1.0,1.0,2.0,3.0,2.0,3.0,1.4704380552699894
1.0,1.0,2.0,3.0,3.0,1.0,1.1928200426647828
1.0,1.0,2.0,3.0,3.0,3.0,1.519103397662353
1.0,1.0,2.0,3.0,3.0,4.0,1.7867421715118388
1.0,1.0,2.0,3.0,4.0,2.0,1.4996137086080652
1.0,1.0,2.0,4.0,1.0,2.0,1.2663563961602757
1.0,1.0,2.0,4.0,1.0,4.0,1.6686471818635356
1.0,1.0,2.0,4.0,3.0,1.0,1.3595783329869848
1.0,1.0,2.0,4.0,3.0,3.0,1.697823950037642
1.0,1.0,2.0,4.0,4.0,4.0,2.039527741879992
1.0,1.0,2.0,4.0,5.0,3.0,1.9281459313500613
1.0,1.0,2.0,4.0,5.0,5.0,2.3745532404922676
1.0,1.0,2.0,5.0,1.0,1.0,1.1928301259050935
1.0,1.0,2.0,5.0,1.0,3.0,1.6533065812307124
1.0,1.0,2.0,5.0,1.0,5.0,1.982017057247867
1.0,1.0,2.0,5.0,2.0,3.0,1.6948891905405024
1.0,1.0,2.0,5.0,3.0,5.0,2.276388558041756
1.0,1.0,2.0,5.0,5.0,5.0,2.3745538289276005
1.0,1.0,3.0,1.0,1.0,1.0,1.1924984819546443
1.0,1.0,3.0,1.0,1.0,2.0,1.2907067448873106
1.0,1.0,3.0,1.0,2.0,1.0,1.1926322571352395
1.0,1.0,3.0,1.0,2.0,2.0,1.2907085486544363
1.0,1.0,3.0,1.0,3.0,1.0,1.2438152660007142
1.0,1.0,3.0,1.0,3.0,3.0,1.5408722125669427
1.0,1.0,3.0,1.0,4.0,3.0,1.7253134626220894
1.0,1.0,3.0,2.0,1.0,1.0,1.1927303141897774
1.0,1.0,3.0,2.0,1.0,2.0,1.3336066499144204
1.0,1.0,3.0,2.0,3.0,2.0,1.6586748782907086
1.0,1.0,3.0,2.0,3.0,3.0,1.6788977723286624
1.0,1.0,3.0,3.0,1.0,1.0,1.192764703453642
1.0,1.0,3.0,3.0,1.0,2.0,1.357367100397859
1.0,1.0,3.0,3.0,1.0,3.0,1.5593051832827471
1.0,1.0,3.0,3.0,3.0,2.0,1.6975074895092768
