function,N,estimator,mse_mean,mse_se,n_trials
cobb_douglas,50,cv,0.009990185403966116,0.0017340817226099722,15
cobb_douglas,50,gbm,0.018785506911649135,0.004155611123464974,15
cobb_douglas,50,lin,0.014912602646344102,0.0008729388558238404,15
cobb_douglas,50,nn,0.0062604530339845825,0.000882687269668543,15
cobb_douglas,100,cv,0.007768643887984181,0.0008765194634995979,15
cobb_douglas,100,gbm,0.008715088860306374,0.0019134682540715108,15
cobb_douglas,100,lin,0.013203368298848004,0.0007946122148931458,15
cobb_douglas,100,nn,0.004945733888220464,0.0009816691875961117,15
cobb_douglas,150,cv,0.0051220152314015365,0.0004996258531943968,15
cobb_douglas,150,gbm,0.004722811342444112,0.0005150465018236204,15
cobb_douglas,150,lin,0.013431254482339953,0.0005394701309131014,15
cobb_douglas,150,nn,0.005346310742790598,0.0010843079778717385,15
cobb_douglas,200,cv,0.003289137302396021,0.0002286783839625412,15
cobb_douglas,200,gbm,0.0038796591562616184,0.0006993690249672155,15
cobb_douglas,200,lin,0.01253637896364657,0.000594137439390613,15
cobb_douglas,200,nn,0.0031821803005864986,0.000771648393366408,15
cobb_douglas,250,cv,0.0031646692426243405,0.00023318825649346915,15
cobb_douglas,250,gbm,0.0036481827199077808,0.000507537787428526,15
cobb_douglas,250,lin,0.012496382726703958,0.0005422018032887126,15
cobb_douglas,250,nn,0.002220182063997117,0.00019022957597705886,15
cobb_douglas,300,cv,0.0033543820745883008,0.000275861389109008,15
cobb_douglas,300,gbm,0.0029077571586805673,0.0003630514802881485,15
cobb_douglas,300,lin,0.012107038357723485,0.0005684493345862839,15
cobb_douglas,300,nn,0.0026007114976382764,0.0005888968107334677,15
cobb_douglas,350,cv,0.002964178095975863,0.0005995510586004305,15
cobb_douglas,350,gbm,0.002643558853972631,0.00032599184292812924,15
cobb_douglas,350,lin,0.012305950824870814,0.0005930309559449122,15
cobb_douglas,350,nn,0.0035480067528561145,0.0008187325916090222,15
cobb_douglas,400,cv,0.002264934766290427,0.0001384826115639118,15
cobb_douglas,400,gbm,0.0023870645723149658,0.00031036826508460574,15
cobb_douglas,400,lin,0.012027103767386643,0.0005344068589988432,15
cobb_douglas,400,nn,0.0021149462499806065,0.00039641595223531594,15
cobb_douglas,450,cv,0.0024743155219210692,0.000365493747441208,15
cobb_douglas,450,gbm,0.0022782032773559923,0.00041050827247542137,15
cobb_douglas,450,lin,0.011930854885798542,0.0005577321921373476,15
cobb_douglas,450,nn,0.001722089637624949,0.00010459412373849292,15
cobb_douglas,500,cv,0.001982106942431999,0.00020426121310704106,15
cobb_douglas,500,gbm,0.0017555522478108086,0.0001484194671422575,15
cobb_douglas,500,lin,0.011955655094318096,0.0005593711316243927,15
cobb_douglas,500,nn,0.0019065323324215923,0.00021309707754658413,15
cobb_douglas,550,cv,0.002147694898456395,0.00028274111498789034,15
cobb_douglas,550,gbm,0.0018845609984228886,0.00033481892668276223,15
cobb_douglas,550,lin,0.011961108124966566,0.0005497136919521466,15
cobb_douglas,550,nn,0.0020092811374444685,0.0002483988680485248,15
cobb_douglas,600,cv,0.0017675920744542742,0.00019433747266539718,15
cobb_douglas,600,gbm,0.0020578568668437624,0.0002408863370971214,15
cobb_douglas,600,lin,0.011853576225088518,0.000564565325067274,15
cobb_douglas,600,nn,0.0016379223173054456,0.00010032106073619677,15
cobb_douglas,650,cv,0.0012764559861711924,6.381589516382974e-05,15
cobb_douglas,650,gbm,0.0015363130067773982,0.00014990024287762487,15
cobb_douglas,650,lin,0.011858509516224641,0.0005530076804623858,15
cobb_douglas,650,nn,0.001481177886358591,6.396078413530225e-05,15
cobb_douglas,700,cv,0.0014485068104698239,0.00010571208066953136,15
cobb_douglas,700,gbm,0.0014041054193483645,0.00011520047149599315,15
